station_id,station_name,station_code,latitude,longitude,timezone,city_id
173,Basel SBB,StopPoint:OCETrain TER-85000109,47.5474,7.58956,Europe/Paris,2927
174,Zimeysa,StopArea:OCE85010009,46.221263,6.065739,Europe/Paris,7829
175,Zimeysa,StopPoint:OCETrain TER-85010009,46.221263,6.065739,Europe/Paris,7829
176,La Plaine (Suisse),StopArea:OCE85010017,46.17866,5.999991,Europe/Paris,4770
177,La Plaine (Suisse),StopPoint:OCECar TER-85010017,46.17866,5.999991,Europe/Paris,4770
178,La Plaine (Suisse),StopPoint:OCETrain TER-85010017,46.17866,5.999991,Europe/Paris,4770
179,Russin,StopArea:OCE85010025,46.187771,6.017553,Europe/Paris,6531
180,Russin,StopPoint:OCECar TER-85010025,46.187771,6.017553,Europe/Paris,6531
181,Russin,StopPoint:OCETrain TER-85010025,46.187771,6.017553,Europe/Paris,6531
182,Satigny,StopArea:OCE85010033,46.21424,6.03749,Europe/Paris,7069
183,Satigny,StopPoint:OCECar TER-85010033,46.21424,6.03749,Europe/Paris,7069
184,Satigny,StopPoint:OCETrain TER-85010033,46.21424,6.03749,Europe/Paris,7069
185,Meyrin,StopArea:OCE85010066,46.22235,6.0769,Europe/Paris,5572
186,Meyrin,StopPoint:OCETrain TER-85010066,46.22235,6.0769,Europe/Paris,5572
187,Vernier,StopArea:OCE85010074,46.22071,6.093892,Europe/Paris,7567
188,Vernier,StopPoint:OCETrain TER-85010074,46.22071,6.093892,Europe/Paris,7567
189,Genève Cornavin,StopArea:OCE85010082,46.21022,6.14244,Europe/Paris,4261
190,Genève Cornavin,StopPoint:OCECar TER-85010082,46.21022,6.14244,Europe/Paris,4261
191,Genève Cornavin,StopPoint:OCELyria-85010082,46.21022,6.14244,Europe/Paris,4261
192,Genève Cornavin,StopPoint:OCETrain TER-85010082,46.21022,6.14244,Europe/Paris,4261
193,Les Tuileries,StopArea:OCE85010116,46.249945,6.147342,Europe/Paris,5150
194,Les Tuileries,StopPoint:OCETrain TER-85010116,46.249945,6.147342,Europe/Paris,5150
195,Creux-de-Genthod,StopArea:OCE85010124,46.263758,6.161319,Europe/Paris,3800
196,Creux-de-Genthod,StopPoint:OCETrain TER-85010124,46.263758,6.161319,Europe/Paris,3800
197,Pont-Céard,StopArea:OCE85010132,46.28739,6.162667,Europe/Paris,6213
198,Pont-Céard,StopPoint:OCETrain TER-85010132,46.28739,6.162667,Europe/Paris,6213
199,Mies,StopArea:OCE85010140,46.299879,6.169566,Europe/Paris,5575
200,Mies,StopPoint:OCETrain TER-85010140,46.299879,6.169566,Europe/Paris,5575
201,Tannay,StopArea:OCE85010157,46.307636,6.181127,Europe/Paris,7280
202,Tannay,StopPoint:OCETrain TER-85010157,46.307636,6.181127,Europe/Paris,7280
203,Chambésy,StopArea:OCE85010207,46.242378,6.147342,Europe/Paris,3452
204,Chambésy,StopPoint:OCETrain TER-85010207,46.242378,6.147342,Europe/Paris,3452
205,Genthod-Bellevue,StopArea:OCE85010215,46.256728,6.153962,Europe/Paris,4260
206,Genthod-Bellevue,StopPoint:OCETrain TER-85010215,46.256728,6.153962,Europe/Paris,4260
207,Versoix,StopArea:OCE85010223,46.279717,6.165748,Europe/Paris,7584
208,Versoix,StopPoint:OCETrain TER-85010223,46.279717,6.165748,Europe/Paris,7584
209,Coppet,StopArea:OCE85010231,46.317378,6.187829,Europe/Paris,3724
210,Coppet,StopPoint:OCETrain TER-85010231,46.317378,6.187829,Europe/Paris,3724
211,Geneve-Aeroport,StopArea:OCE85010264,46.23255,6.11197,Europe/Paris,4257
212,Geneve-Aeroport,StopPoint:OCETrain TER-85010264,46.23255,6.11197,Europe/Paris,4257
213,Vallorbe,StopArea:OCE85011031,46.71242,6.37057,Europe/Paris,7487
214,Vallorbe,StopPoint:OCECar TER-85011031,46.71242,6.37057,Europe/Paris,7487
215,Vallorbe,StopPoint:OCELyria-85011031,46.71242,6.37057,Europe/Paris,7487
216,Vallorbe,StopPoint:OCETrain TER-85011031,46.71242,6.37057,Europe/Paris,7487
217,Lausanne,StopArea:OCE85011205,46.51679,6.62909,Europe/Paris,4934
218,Lausanne,StopPoint:OCELyria-85011205,46.51679,6.62909,Europe/Paris,4934
219,Martigny,StopArea:OCE85015008,46.10583,7.07911,Europe/Paris,5474
220,Martigny,StopPoint:OCETrain TER-85015008,46.10583,7.07911,Europe/Paris,5474
221,Vernayaz MC,StopArea:OCE85015610,46.130414,7.044608,Europe/Paris,7558
222,Vernayaz MC,StopPoint:OCETrain TER-85015610,46.130414,7.044608,Europe/Paris,7558
223,Salvan,StopArea:OCE85015628,46.121612,7.021049,Europe/Paris,7016
224,Salvan,StopPoint:OCETrain TER-85015628,46.121612,7.021049,Europe/Paris,7016
225,Les Marécottes,StopArea:OCE85015636,46.112312,7.011692,Europe/Paris,5121
226,Les Marécottes,StopPoint:OCETrain TER-85015636,46.112312,7.011692,Europe/Paris,5121
227,Le Trétien,StopArea:OCE85015644,46.102318,6.997726,Europe/Paris,5056
228,Le Trétien,StopPoint:OCETrain TER-85015644,46.102318,6.997726,Europe/Paris,5056
229,Finhaut,StopArea:OCE85015651,46.082404,6.976131,Europe/Paris,4108
