Nom_Gare;Trigramme;Segment(s) DRG;Position géographique;Code commune;Code_UIC;Id_Gare
Avesnelles;AVS;C;50.1185513, 3.9485876;59035;87295725;febbcc4f-0616-4a1b-ad48-11fa72012d75
Avesnes-sur-Helpe;AVN;B;50.12674, 3.93295;59036;87295733;899e931c-3975-4abc-b704-16552e4222e4
Avignon Centre;AVI;A;43.9419, 4.805281;84007;87765008;c2b70eb9-3a27-4cd8-953c-8ed3fa307b23
Avignon TGV;AVV;"A;A";43.921586, 4.786079;84007;"87981902;87318964";6d950f75-8a47-4c30-b0ca-66f074ad3496
Avignonet-Lauragais;AWG;C;43.3638769, 1.7872687;31037;87616011;ae3fd7a9-7424-4cf3-a9c3-d0072bf5e03c
Avion;AON;C;50.40723, 2.83365;62065;87342584;1c63c41f-ec63-42a5-b574-992e1a76043b
Avord;ADG;C;47.0349061, 2.6523757;18018;87576439;f2eabf7e-61a6-4702-8a5d-4bdf8aa6e438
Avoudrey;AVO;C;47.1298359, 6.434573;25039;87718551;d1e137ce-0e06-4a40-b8fe-37458b379004
Avranches;AVR;C;48.6902445, -1.3700755;50025;87448514;45cfaa3f-1de7-4b37-9f38-a674c6b54176
Avrechy;AVY;C;49.4446439, 2.4179608;60034;87313296;d11cda4a-7027-4db1-b44f-112e48681de9
Ax-les-Thermes;AXN;C;42.7247967, 1.8332516;09032;87611533;959387e2-3272-43bf-bcaf-bd79c892dc2e
Ay;AYN;C;49.0487318, 4.0015644;51030;87171561;6fc692a2-4dea-42dd-bf36-cb0aac695ea7
Aytré Plage;ATL;C;46.1273815, -1.1280462;17028;87437806;a9867b03-5873-427c-9e35-c8277bb5c7f4
Azay-le-Rideau;AZR;B;47.2663383, 0.4475388;37014;87571638;3194f030-2f11-4ccf-a866-031a8aebbf28
Azay-sur-Cher;EUR;C;47.3652695, 0.8599885;37156;87574442;0d5315f6-230f-4617-b83b-c6ace5f1b070
Azerailles;AZE;C;48.4913355, 6.695778;54038;87141408;66870c5d-8fc2-441a-8209-6146d225a2fa
Babinière;BBR;C;47.25875274, -1.544928378;44035;87590349;844c2076-bdbf-4e23-a1e2-1aaf10603dd1
Baccarat;BAC;B;48.452405, 6.74383;54039;87141416;b74d1ca1-ed2a-400b-b0e1-70e4db664760
Bagnac-sur-Célé;BAG;C;44.6652105, 2.1602503;46015;87613604;2b48705e-825c-4026-9c0e-ed6170ce3edd
Bagneaux-sur-Loing;BXN;C;48.2304802, 2.7033327;77016;87684191;2efc18ce-3b5a-4d3b-bc14-de67c67687a8
Bagnols - Chadenet;BCT;C;44.5286125, 3.628178;48037;87783647;2d654b21-0897-4109-8515-0efd4e7a6ead
Bagnols-sur-Cèze;BSC;C;44.161626, 4.627032;30028;87764571;cc0b93bb-2635-410c-bf21-ed4478753604
Baillargues;BGU;B;43.6533234, 4.0071585;34022;87773457;1b81819f-2cfb-441f-9d48-209bff591fcd
Bailleau-le-Pin;BAP;B;48.3668028, 1.3248851;28021;87394411;22a72294-9c23-43d5-89c3-c1260e4335fc
Bailleul;BIU;B;50.72916, 2.73445;59043;87286179;472b36df-ade7-46d6-aeab-81381a56da9c
