route_id,departure_station_id,arrival_station_id,departure_station_name,arrival_station_name,departure_city_name,arrival_city_name,departure_country_name,arrival_country_name,departure_country_code,arrival_country_code,operator_name,is_international,distance_km,trip_count,weekly_frequency,daily_frequency_avg,avg_duration_minutes,min_duration_minutes,max_duration_minutes,main_train_type,has_night_train,has_day_train,avg_num_stops,min_num_stops,max_num_stops,avg_quality_score,min_quality_score,quality_issues_count,co2_train_kg,co2_plane_kg,co2_saving_kg,co2_saving_percent,substitution_score,substitution_potential
3636,112,6209,Stuttgart Hbf,Paris Gare de Lyon Hall 1 - 2,Stuttgart Hbf,Paris Gare de Lyon Hall 1 - 2,France,France,FR,FR,SNCF VOYAGEURS,0,498.53,2,2.0,0.29,235.5,233.0,238.0,day,0,1,2.0,2,2,100.0,100,0,6.98,114.66,107.68,93.91,75,fort
3637,325,112,Paris Est,Stuttgart Hbf,Paris Est,Stuttgart Hbf,France,France,FR,FR,SNCF VOYAGEURS,0,499.53,26,1.37,0.2,204.81,200.0,214.0,day,0,1,2.19,2,3,100.0,100,0,6.99,114.89,107.9,93.91,75,fort
3638,6209,112,Paris Gare de Lyon Hall 1 - 2,Stuttgart Hbf,Paris Gare de Lyon Hall 1 - 2,Stuttgart Hbf,France,France,FR,FR,SNCF VOYAGEURS,0,498.53,3,3.0,0.43,218.33,217.0,219.0,day,0,1,2.0,2,2,100.0,100,0,6.98,114.66,107.68,93.91,80,fort
3639,325,22,Paris Est,Karlsruhe Hbf,Paris Est,Karlsruhe Hbf,France,France,FR,FR,SNCF VOYAGEURS,0,441.52,4,0.56,0.08,162.75,161.0,165.0,day,0,1,1.0,1,1,100.0,100,0,6.18,101.55,95.37,93.91,75,fort
3640,97,325,Munich,Paris Est,Munich,Paris Est,France,France,FR,FR,SNCF VOYAGEURS,0,682.27,7,0.58,0.08,344.71,344.0,346.0,day,0,1,5.0,5,5,100.0,100,0,9.55,156.92,147.37,93.91,62,moyen
3641,97,6209,Munich,Paris Gare de Lyon Hall 1 - 2,Munich,Paris Gare de Lyon Hall 1 - 2,France,France,FR,FR,SNCF VOYAGEURS,0,680.96,1,1.0,0.14,359.0,359.0,359.0,day,0,1,5.0,5,5,100.0,100,0,9.53,156.62,147.09,93.91,67,moyen
3642,325,97,Paris Est,Munich,Paris Est,Munich,France,France,FR,FR,SNCF VOYAGEURS,0,682.27,6,0.55,0.08,348.5,346.0,351.0,day,0,1,5.0,5,5,100.0,100,0,9.55,156.92,147.37,93.91,62,moyen
3643,16,7969,Francfort sur le Main,Marseille Saint-Charles,Francfort sur le Main,Marseille Saint-Charles,France,France,FR,FR,SNCF VOYAGEURS,0,796.75,7,0.39,0.06,470.14,464.0,490.0,day,0,1,10.86,10,11,100.0,100,0,11.15,183.25,172.1,93.91,67,moyen
3644,7969,16,Marseille Saint-Charles,Francfort sur le Main,Marseille Saint-Charles,Francfort sur le Main,France,France,FR,FR,SNCF VOYAGEURS,0,796.75,6,0.34,0.05,478.33,468.0,524.0,day,0,1,10.83,10,11,100.0,100,0,11.15,183.25,172.1,93.91,67,moyen
3645,7125,16,Lyon Part Dieu,Francfort sur le Main,Lyon Part Dieu,Francfort sur le Main,France,France,FR,FR,SNCF VOYAGEURS,0,560.07,1,1.0,0.14,359.0,359.0,359.0,day,0,1,8.0,8,8,100.0,100,0,7.84,128.82,120.98,93.91,67,moyen
